userid,name,t,revid,pageid,title,sizediff,tags
48368566,3dddt5,2024-08-31T13:18:11Z,1243260335,33382732,Market monetarism,25,wikieditor
48369292,AFCClement,2024-08-31T16:11:35Z,1243284387,58619107,Bia (TV series),-143,wikieditor
48369254,Ailurophilerose,2024-08-31T16:11:08Z,1243284330,29535239,William II of Geneva,137,visualeditor
48366784,Alexmilton1755,2024-08-31T01:43:26Z,1243192055,430029,Fordham University,149,mobile edit|mobile web edit|mw-reverted
48370688,Alphasigma123,2024-08-31T23:44:17Z,1243348139,41312390,Elsa (Frozen),13,mobile edit|mobile web edit|mw-reverted
48370281,Azza511,2024-08-31T21:17:14Z,1243326437,47411,Margaret of Anjou,484,wikieditor
48369995,B200725,2024-08-31T19:29:08Z,1243309982,4187252,Salvadoran Civil War,11,mw-reverted|wikieditor
48370159,Benio111111!!,2024-08-31T20:10:41Z,1243316646,75143160,Bash in Berlin,242,mobile edit|mobile web edit|visualeditor|mw-manual-revert|mw-reverted|editcheck-references|editcheck-newcontent
48366807,Calvelo2026,2024-08-31T02:53:00Z,1243200032,76687552,High Street (TV series),0,mobile edit|mobile web edit|visualeditor
48368570,Cavvy18,2024-08-31T13:12:05Z,1243259720,445102,Gillette Stadium,34,mobile edit|mobile web edit|visualeditor
48369731,Celticbhoy58,2024-08-31T18:22:43Z,1243301684,240952,Henrik Larsson,0,mobile edit|mobile web edit|mw-reverted
48367074,Coolesteditorever999,2024-08-31T22:11:08Z,1243335697,980539,Jif (peanut butter),1,mobile edit|mobile web edit|mw-reverted
48367204,Daukhao,2024-08-31T05:43:00Z,1243216892,33420193,Lhao Vo language,1,mobile edit|mobile web edit|visualeditor|mw-reverted
48368616,Drpepper2099,2024-08-31T13:23:17Z,1243260887,606981,History of the People's Republic of China (1976–1989),-30,mobile edit|mobile web edit|visualeditor|mw-reverted
48367717,Dunestask,2024-08-31T08:21:58Z,1243231731,316736,Vietnamese Americans,-447,visualeditor|mw-reverted
48366965,Fafazsmirth,2024-08-31T03:17:00Z,1243202216,9827072,Port Hedland International Airport,-401,mw-reverted|wikieditor
48368344,Flunatica78,2024-08-31T11:58:54Z,1243250722,59906613,Gabriel Fuentes,-318,mobile edit|mobile web edit|visualeditor|references removed|mw-reverted
48368046,Hdieitjvuduejryeufj,2024-08-31T10:13:32Z,1243241448,3305274,Gusinje,-944,mobile edit|mobile web edit|visualeditor|Section blanking|mw-reverted
48370598,Hgy7ujhkg,2024-08-31T23:02:32Z,1243341754,8518,Dachshund,11,visualeditor|mw-reverted
48366894,HistoryGeerk1933,2024-08-31T02:59:59Z,1243200659,2672648,Hiroshi Ōshima,85,extraneous markup|wikieditor
48368400,I2883,2024-08-31T12:45:50Z,1243256680,57642887,Hoppin Formation,227,mobile edit|mobile web edit
48366832,Iambrujito,2024-08-31T02:06:26Z,1243195311,1003449,Red Holzman,35,mw-reverted|wikieditor
48367931,James.su1112,2024-08-31T09:51:04Z,1243239532,5826,Complex number,-6,visualeditor|mw-reverted
48370269,JaneZJYu,2024-08-31T21:46:18Z,1243331805,4829801,Wang Wenyi,-4,wikieditor
48368316,JoeofGod,2024-08-31T12:11:16Z,1243252186,24883395,Imeko Afon,262,mobile edit|mobile web edit|visualeditor|editcheck-references|editcheck-newcontent
48367971,Jweighed1,2024-08-31T16:27:20Z,1243286812,16917294,Technical definition,47,visualeditor|mw-reverted
48369266,KHKhani,2024-08-31T16:16:57Z,1243285265,36194002,"Ayun, Chitral",231,deprecated source|wikieditor
48369129,KalkiRaj,2024-08-31T16:34:48Z,1243287935,63177830,Women in Zambia,4,wikieditor
48367833,Khiben.J,2024-08-31T09:07:05Z,1243235759,26121922,UCSI University,125,visualeditor
