userid,name,t0,revid,pageid,title,sizediff,tags
48522301,Metersbeaters,2024-09-30T23:47:14Z,1248696316,29689509,The Top 100: NFL's Greatest Players,33,mw-reverted|disambiguator-link-added|wikieditor
48522249,ZimbabweTM,2024-09-30T23:22:01Z,1248693609,47451762,Spider-Woman (Gwen Stacy),1,wikieditor
48522193,Saintango,2024-09-30T23:04:09Z,1248691698,66855815,Sabon Zongo,106,mobile edit|mobile web edit|mw-reverted
48522143,Hypernova22,2024-09-30T22:48:27Z,1248690051,37895120,List of Anseriformes by population,-667,mobile edit|mobile web edit|visualeditor|references removed
48522138,Vdfqef,2024-09-30T22:38:21Z,1248689017,63826404,42 Dugg,-2,visualeditor|mw-reverted
48522087,JoeSti64,2024-09-30T22:29:14Z,1248687996,17703256,Marchienne-au-Pont,2238,visualeditor|editcheck-references|editcheck-newreference|editcheck-newcontent
48522043,RalphWatch,2024-09-30T22:14:12Z,1248685829,76838006,Ralph de la Torre,13,possible libel or vandalism|wikieditor
48522036,Dm2100,2024-09-30T22:11:56Z,1248685538,13206035,Memphis sanitation strike,461,mw-reverted|wikieditor
48521987,MujjafIslam,2024-09-30T21:41:53Z,1248681588,15144990,Jay Schwartz,21,mobile edit|mobile web edit|visualeditor|mw-reverted|newcomer task|newcomer task copyedit
48521933,Realadamkemp50,2024-09-30T21:45:31Z,1248682103,45491717,Adam Kemp,2114,visualeditor|changing height or weight|mw-reverted|editcheck-references|editcheck-newreference|editcheck-newcontent
48521883,Marcuse magneti,2024-09-30T21:09:33Z,1248677165,20677780,Pacific koel,1,mobile edit|canned edit summary|mobile app edit|ios app edit|app-section-source
48521835,Aidanwls,2024-09-30T20:49:52Z,1248674568,6962378,Arne Slot,15,mobile edit|mobile web edit|mw-reverted
48521829,Viktor.filipovic457,2024-09-30T20:59:34Z,1248675910,78006796,2024 Israeli invasion of Lebanon,67,mobile edit|mobile web edit|possible vandalism|mw-reverted
48521774,Johncena321123,2024-09-30T20:34:23Z,1248672058,53090,Pueblo peoples,-5252,blanking|mw-reverted|wikieditor
48521732,Wickl001,2024-09-30T20:46:22Z,1248674053,76880288,May 2024 solar storms,186,mw-reverted|wikieditor
48521635,Georgecook69,2024-09-30T20:01:59Z,1248666161,12265474,Biddick Academy,96,mobile edit|mobile web edit|mw-reverted
48521621,Sbxfx,2024-09-30T19:59:16Z,1248665734,55269341,Jonathan Taylor (American football),0,mobile edit|mobile web edit|visualeditor
48521580,TbhTindia,2024-09-30T19:44:59Z,1248663615,9364927,Secretary-General of Hezbollah,-9,mobile edit|mobile web edit
48521566,Stanleygeorgegoldberg,2024-09-30T19:44:18Z,1248663504,24381669,Robert Greene (American author),288,visualeditor
48521512,Sadekiqa010,2024-09-30T19:28:28Z,1248660907,77795357,2025 U-20 Africa Cup of Nations qualification,3,mobile edit|mobile web edit
48521478,PaulWebbTech,2024-09-30T19:27:25Z,1248660743,50814392,Ché Chesterman,851,visualeditor|mw-removed-redirect|mw-reverted|editcheck-references|editcheck-newcontent
48521460,Tanmaya kalra,2024-09-30T19:57:27Z,1248665464,2107559,Islamic feminism,1170,wikieditor
48521428,Lindseysinger,2024-09-30T19:16:13Z,1248659006,45202387,PredictIt,29,visualeditor-switched|wikieditor
48521421,Trackstar1328,2024-09-30T19:12:33Z,1248658414,33340108,Albemarle County Public Schools,96,visualeditor
48521382,Abdessamad94,2024-09-30T18:54:36Z,1248655596,3222400,Parliamentarians for Global Action,4,mobile edit|mobile web edit|visualeditor|mw-reverted|newcomer task|newcomer task links
48521372,Lebohangmanosa,2024-09-30T23:56:59Z,1248697349,78008461,Dolomitic failure in South Africa,3335,disambiguator-link-added|wikieditor
48521322,Gamingcubed,2024-09-30T18:45:46Z,1248654061,69023589,List of Internet challenges,475,visualeditor|mw-reverted|editcheck-newreference
